"","X.1","X","AGE","GENDER","EDU","RELATIONSHIP","SOI_1","SOI_2","SOI_3","SOI_4","SOI_5","SOI_6","SOI_7","SOI_8","SOI_9","Sexual_Orientation"
"1",1,1,24,"F",4,0,4,3,4,8,7,2,7,5,4,"0"
"2",2,2,23,"F",4,1,2,3,3,6,3,6,3,2,2,"0"
"3",3,3,21,"M",4,1,2,5,7,9,7,1,6,7,5,"1"
"4",4,4,24,"F",4,1,2,2,4,8,6,2,4,3,3,"0"
"5",5,5,27,"F",4,0,6,1,5,9,3,2,4,4,2,"1"
"6",6,6,23,"F",4,1,2,1,1,9,6,1,5,2,3,"0"
"7",7,7,25,"F",4,1,2,6,7,9,9,1,2,2,3,"1"
"8",8,8,25,"F",4,0,3,5,6,7,7,2,7,4,2,"0"
"9",9,9,26,"M",4,1,2,4,5,9,9,1,5,1,2,"0"
"10",10,10,23,"F",4,0,2,2,4,8,3,4,8,4,5,"1"
"11",11,11,36,"M",6,0,2,3,2,9,8,1,6,4,3,"0"
"12",12,12,38,"M",6,1,2,3,4,8,4,3,5,4,5,"0"
"13",13,13,37,"M",5,1,1,1,1,9,8,1,7,7,7,"0"
"14",14,14,39,"F",4,1,1,1,1,1,1,1,1,1,2,"0"
"15",15,15,38,"M",4,1,2,1,1,6,7,2,7,7,2,"0"
"16",16,16,38,"F",6,1,2,2,1,9,7,1,4,2,3,"0"
"17",17,17,34,"M",6,1,2,4,6,8,8,2,6,6,7,"0"
"18",18,18,23,"F",4,1,2,1,1,2,2,7,5,3,2,"0"
"19",19,19,27,"F",5,1,2,1,1,1,1,9,2,2,1,"0"
"20",20,20,41,"F",6,1,2,1,1,3,2,2,2,1,1,"0"
"21",21,21,29,"M",5,1,2,1,1,3,3,4,5,2,6,"0"
"22",22,22,28,"F",5,1,2,1,1,7,5,3,2,2,3,"0"
"23",23,23,24,"M",3,1,2,6,6,4,5,3,2,2,1,"0"
"24",24,24,28,"F",5,1,2,1,1,9,1,5,2,3,2,"0"
"25",25,25,28,"M",5,1,2,1,1,7,7,3,7,4,6,"0"
"26",26,26,29,"F",6,1,2,1,1,3,1,5,2,2,1,"0"
"27",27,27,42,"F",6,1,2,2,1,1,1,9,1,1,1,"0"
"28",28,28,27,"F",4,1,2,5,5,8,8,2,4,3,2,"1"
"29",29,29,31,"F",6,0,2,2,4,5,4,2,7,7,4,"0"
"30",30,30,31,"F",5,1,1,1,1,5,1,9,1,1,1,"0"
"31",31,31,42,"M",6,1,2,1,3,7,7,1,5,9,6,"0"
"32",32,32,33,"F",6,0,2,1,2,3,2,3,6,2,2,"0"
"33",33,33,54,"M",5,1,2,4,4,7,9,1,7,7,7,"0"
"34",34,34,51,"M",6,1,4,3,3,8,7,1,6,6,3,"1"
"35",35,35,26,"F",4,0,1,1,1,7,2,8,4,3,4,"0"
"36",36,36,24,"F",4,0,3,2,2,9,9,1,6,6,2,"0"
"37",37,37,25,"F",4,0,5,2,2,4,2,5,5,4,2,"0"
"38",38,38,24,"F",4,0,3,7,8,9,9,1,7,5,4,"0"
"39",39,39,23,"F",4,0,3,1,3,8,7,2,5,6,2,"0"
"40",40,40,23,"F",4,1,2,1,1,8,2,8,2,1,1,"0"
"41",41,41,25,"F",4,1,2,1,1,9,6,3,5,4,3,"0"
"42",42,42,27,"F",4,0,1,1,3,8,8,2,3,4,2,"0"
"43",43,43,24,"F",4,0,3,2,3,8,6,2,6,5,2,"0"
"44",44,44,26,"M",4,0,2,4,3,8,7,3,4,4,2,"1"
"45",45,45,24,"F",4,1,2,2,1,8,6,1,4,4,6,"0"
"46",46,46,29,"F",6,1,2,1,1,3,1,5,2,2,1,"0"
"47",47,47,43,"F",5,1,2,2,5,9,7,7,8,2,4,"1"
"48",48,48,35,"M",6,1,2,4,2,5,7,3,7,5,5,"0"
"49",49,49,33,"F",6,1,2,1,1,9,7,6,3,2,2,"0"
"50",50,50,28,"M",5,0,3,2,3,9,9,1,8,8,8,"0"
"51",51,51,35,"M",6,1,2,1,1,9,5,5,7,5,5,"0"
"52",52,52,29,"M",3,0,2,1,2,9,6,5,8,2,7,"0"
"53",53,53,31,"F",5,1,2,2,5,1,1,1,1,1,1,"0"
"54",54,54,23,"F",4,0,4,2,2,8,7,2,5,6,4,"0"
"55",55,55,27,"F",4,0,1,2,3,8,7,2,4,4,2,"0"
"56",56,56,23,"F",4,1,2,1,1,9,3,3,6,4,4,"0"
"57",57,57,26,"F",4,1,2,3,3,3,6,5,3,2,2,"1"
"58",58,58,23,"F",4,1,2,1,1,5,2,8,3,1,2,"0"
"59",59,59,26,"F",4,0,1,1,1,7,2,8,4,5,6,"0"
"60",60,60,27,"F",4,1,6,2,4,9,3,2,2,3,2,"1"
"61",61,61,23,"F",4,0,2,2,1,2,2,8,5,2,2,"1"
"62",62,62,32,"F",4,1,1,1,1,3,2,3,7,1,1,"0"
"63",63,63,24,"F",4,1,2,2,5,7,6,2,3,2,2,"0"
"64",64,64,22,"F",4,1,2,2,1,8,4,4,6,2,2,"1"
"65",65,65,24,"F",4,1,2,6,5,8,7,2,5,2,1,"0"
"66",66,66,26,"M",4,0,2,3,2,7,6,3,2,3,1,"1"
"67",67,67,26,"M",4,1,2,4,5,9,9,1,5,2,2,"0"
"68",68,68,25,"F",4,1,2,6,7,9,9,1,2,2,3,"1"
"69",69,69,24,"F",4,0,1,2,2,7,3,5,2,2,2,"0"
"70",70,70,25,"F",4,1,2,1,1,7,4,5,2,2,2,"0"
"71",71,71,25,"F",4,0,4,1,2,4,2,6,6,8,2,"0"
"72",72,72,31,"F",5,1,2,2,5,1,1,1,2,2,1,"0"
"73",73,73,25,"F",4,0,4,1,2,4,2,6,6,8,2,"0"
"74",74,74,25,"F",4,0,4,1,2,4,2,6,6,8,2,"0"
"75",75,75,23,"F",4,1,3,1,3,8,6,2,7,6,5,"1"
"76",76,76,35,"M",6,1,2,2,1,6,7,4,8,5,3,"0"
"77",77,77,28,"M",5,0,3,2,3,9,9,1,8,8,8,"0"
"78",78,78,35,"M",6,1,2,1,2,8,8,2,7,6,6,"0"
"79",79,79,40,"F",4,1,2,1,3,5,3,7,2,2,2,"0"
"80",80,80,24,"F",4,1,2,2,1,8,6,2,3,2,4,"0"
"81",81,81,27,"M",4,1,2,6,7,3,1,1,9,9,3,"0"
"82",82,82,24,"F",4,1,2,4,7,9,9,1,5,2,2,"1"
"83",83,83,27,"M",4,1,2,6,7,9,9,1,7,3,2,"0"
"84",84,84,21,"M",3,1,2,9,8,9,9,1,7,6,8,"1"
"85",85,85,23,"M",4,0,1,3,3,5,4,3,3,4,3,"0"
"86",86,86,23,"F",4,1,2,3,3,5,3,4,3,2,2,"0"
"87",87,87,24,"F",4,0,3,2,3,8,6,4,8,4,4,"1"
"88",88,88,23,"F",4,1,2,3,3,5,3,4,3,2,2,"0"
"89",89,89,58,"F",4,1,1,2,2,2,1,8,3,2,2,"0"
"90",90,90,25,"M",5,1,2,1,1,3,3,7,2,1,2,"0"
"91",91,91,25,"F",5,1,2,1,1,9,5,1,2,2,1,"0"
"92",92,92,50,"F",3,1,1,1,1,7,1,6,2,1,1,"0"
"93",93,93,28,"M",5,1,2,3,1,5,5,3,3,2,2,"0"
"94",94,94,23,"M",3,0,1,1,1,3,1,4,8,4,4,"1"
"95",95,95,23,"M",3,0,8,3,9,4,7,1,8,6,6,"1"
"96",96,96,34,"M",5,1,2,2,1,6,2,7,2,2,2,"0"
"97",97,97,23,"F",4,0,1,1,1,5,2,6,5,5,6,"0"
"98",98,98,22,"F",4,0,1,1,1,4,2,6,8,7,4,"0"
"99",99,99,25,"M",5,1,2,1,1,3,3,7,2,1,2,"0"
"100",100,100,54,"M",5,1,2,4,4,7,9,1,7,7,7,"0"
"101",101,101,29,"F",4,0,5,5,7,5,2,4,2,2,2,"0"
"102",102,102,24,"M",4,0,4,4,2,5,3,7,4,3,2,"1"
"103",103,103,24,"F",4,0,1,2,1,3,4,5,2,2,2,"0"
"104",104,104,23,"F",4,0,2,1,1,4,3,6,7,5,4,"1"
"105",105,105,23,"F",4,1,2,1,1,8,2,8,2,1,1,"0"
"106",106,106,31,"F",4,1,3,6,7,6,6,3,8,7,7,"0"
"107",107,107,26,"F",4,1,1,1,1,3,3,4,2,2,2,"1"
"108",108,108,32,"F",4,1,1,3,2,6,4,3,2,1,2,"0"
"109",109,109,25,"F",4,1,3,1,4,8,8,2,6,3,2,"1"
"110",110,110,22,"F",4,1,2,2,1,8,6,5,6,2,2,"1"
"111",111,111,26,"F",4,0,2,1,1,7,2,7,3,6,2,"0"
"112",112,112,22,"F",3,0,1,1,1,1,1,8,2,1,1,"0"
"113",113,113,25,"F",3,0,2,2,1,4,1,6,2,2,1,"0"
"114",114,114,22,"F",3,0,4,2,2,5,1,6,8,7,2,"0"
"115",115,115,22,"F",3,1,2,1,1,2,1,8,1,1,1,"0"
"116",116,116,22,"F",3,1,2,1,3,7,6,6,2,2,1,"0"
"117",117,117,28,"F",3,1,1,1,2,1,1,3,1,1,1,"0"
"118",118,118,21,"F",3,1,2,2,2,5,2,8,1,2,1,"0"
"119",119,119,22,"F",3,0,4,2,2,5,1,6,8,7,2,"0"
"120",120,120,22,"F",3,0,4,2,2,5,1,6,8,7,2,"0"
"121",121,121,21,"F",3,0,2,2,1,8,4,2,8,4,4,"0"
