"S","AGE","GENDER","EDU","RELATIONSHIP_t0","NATIONALITY","SOI_t0_1","SOI_t0_2","SOI_t0_3","SOI_t0_4","SOI_t0_5","SOI_t0_6","SOI_t0_7","SOI_t0_8","SOI_t0_9","LR","PC_t0","RELATIONSHIP_t1","Etero","SOI_t1_1","SOI_t1_2","SOI_t1_3","SOI_t1_4","SOI_t1_5","SOI_t1_6","SOI_t1_7","SOI_t1_8","SOI_t1_9","SOI_t1_10","PC_t1","SOI_BEH_t0","SOI_ATT_t0","SOI_DES_t0","SOI_t0_TOT","SOI_BEH_t1","SOI_ATT_t1","SOI_DES_t1","SOI_t1_TOT"
1,24,"F",2,0,1,2,2,4,8,3,4,8,7,5,3,4,0,0,3,2,3,8,6,4,8,7,4,3,3,8,15,20,43,8,18,14,40
2,23,"M",1,0,1,1,2,1,2,2,8,7,2,3,2,2,0,0,1,1,1,3,1,4,8,7,4,3,3,4,12,12,28,3,8,14,25
3,38,"M",4,0,1,2,3,2,9,8,1,6,7,3,2,2,1,1,2,3,4,8,4,3,5,7,5,2,2,7,18,16,41,9,15,14,38
4,27,"M",2,1,1,2,6,7,7,9,1,7,7,2,4,6,1,1,2,6,7,9,9,1,7,6,2,3,4,15,17,16,48,15,19,11,45
5,24,"F",2,1,1,2,4,7,9,9,1,5,2,2,2,1,1,0,2,4,7,9,8,1,3,2,3,3,2,13,19,9,41,13,18,8,39
6,32,"F",2,1,0,1,1,1,3,2,3,7,1,1,4,4,1,1,1,3,2,6,4,3,2,1,2,5,6,3,8,9,20,6,13,8,27
7,23,"M",1,0,1,8,3,9,4,7,1,8,4,6,2,2,0,0,8,3,9,6,6,3,7,3,4,3,2,20,12,18,50,20,15,10,45
8,35,"M",4,1,1,2,4,2,5,7,3,7,3,5,6,6,1,1,2,2,1,6,7,4,8,3,3,7,6,8,15,15,38,5,17,13,35
9,24,"F",2,1,1,2,2,4,8,6,2,4,6,3,4,2,1,1,2,2,5,7,6,2,3,2,2,4,3,8,16,13,37,9,15,8,32
10,26,"F",2,0,1,1,1,1,7,2,8,4,6,4,3,4,0,1,1,1,1,7,2,8,4,3,6,3,4,3,17,14,34,3,17,12,32
11,23,"F",2,1,1,2,1,1,2,2,7,5,6,2,3,3,1,1,2,1,1,5,2,8,3,1,2,3,3,4,11,13,28,4,15,6,25
